hab_number,hab_Type,latitude,longitude,num_plastics_m2,num_fragments_m2,num_shards_m2,mg_plastic_m2,SOM,soil_moisture,stem_count,perc_cover,bulk_density_dry,bulk_density_wet
1,Mudflat,38.91089349,-76.94828376,22508,20888,1621,43.21,0.0424,23.27,0,0,1.11,1.44
2,Mudflat,38.91110298,-76.9483193,39021,37906,1115,13.01,0.0721,51.55,0,0,0.72,1.49
3,Mudflat,38.91110141,-76.94843698,15199,13423,1777,29.61,0.0857,49.68,0,0,0.79,1.58
4,Mudflat,38.91116898,-76.94861971,39998,38226,1772,44.3,0.0751,41.75,0,0,0.59,1.01
5,Mudflat,38.91069965,-76.94885407,26746,24239,2340,45.13,0.0237,34.02,0,0,0.88,1.34
6,Mudflat,38.91055955,-76.94869447,43067,40216,2851,31.51,0.0374,38.46,0,0,0.74,1.2
7,Channel_Edge,38.91054494,-76.94832265,18141,8483,9527,495.94,0.0985,41.29,39,30,0.54,0.91
8,Channel_Edge,38.9105666,-76.94801286,18058,11172,6885,72.75,0.2131,65.14,26,50,0.32,0.91
9,Channel_Edge,38.91059425,-76.94736645,13638,8973,4666,100.5,0.0698,43.11,34,30,0.82,1.44
10,Channel_Edge,38.91063547,-76.94759108,47075,41578,5497,111.34,0.1616,58.7,55,30,0.47,1.13
11,Channel_Edge,38.91068243,-76.94790121,34595,31914,2682,32.18,0.1409,52.65,40,30,0.51,1.07
12,Channel_Edge,38.91077009,-76.9480883,24777,19357,5420,212.93,0.1473,52.03,44,50,0.47,0.98
13,Dense_Vegetation,38.91085983,-76.94640152,12374,11434,940,28.19,0.3087,92.77,70,30,0.09,1.25
14,Dense_Vegetation,38.91034849,-76.94623254,10346,8382,1965,28.81,0.3355,75.81,132,100,0.25,1.05
15,Dense_Vegetation,38.91000751,-76.94601528,6977,7387,1505,24.62,0.1629,84.96,76,75,0.16,1.09
16,Dense_Vegetation,38.9097401,-76.94632038,7936,7799,137,10.95,0.2449,76.9,57,100,0.25,1.1
17,Dense_Vegetation,38.91013613,-76.94709957,8355,8223,133,11.94,0.2261,75.63,60,100,0.19,0.8
18,Dense_Vegetation,38.91032214,-76.94760147,11531,10897,634,21.54,0.1909,65.78,33,75,0.35,1.01
19,Debris_Line,38.90992298,-76.94571219,25969,21555,4415,72.71,0.1837,66.81,56,100,0.3,0.91
20,Debris_Line,38.90941764,-76.9457702,26573,24432,2141,42.82,0.3398,73.17,45,30,0.27,1.01
21,Debris_Line,38.90918753,-76.9465534,11714,11187,526,14.48,0.3022,78.02,69,100,0.2,0.92
22,Debris_Line,38.90919431,-76.94622148,29050,27176,1874,14.73,0.325,74.28,33,100,0.19,0.74
23,Debris_Line,38.9095773,-76.94745831,25218,22605,2613,11.76,0.2247,71.92,34,75,0.29,1.05
24,Debris_Line,38.91002864,-76.94817916,36739,34698,2041,28.57,0.3302,82.07,10,30,0.29,1.63
